district_name,fort_name,link
Ahmednagar ,Bahadur Fort,https://en.wikipedia.org/wiki/Bahadur_Fort
Ahmednagar ,Harishchandragad,https://en.wikipedia.org/wiki/Harishchandragad
Ahmednagar ,Kunjargad,https://en.wikipedia.org/wiki/Kunjargad
Ahmednagar ,Pabargad,https://en.wikipedia.org/wiki/Pabargad
Dhule ,Laling fort,https://en.wikipedia.org/wiki/Laling_fort
Kolhapur,Gagangad,https://en.wikipedia.org/wiki/Gagangad
Kolhapur,Mahipalgad,https://en.wikipedia.org/wiki/Mahipalgad
Kolhapur,Shivgad,https://en.wikipedia.org/wiki/Shivgad
Kolhapur,Vallabhgad Fort,https://en.wikipedia.org/wiki/Vallabhgad_Fort
Nashik,Achala Fort,https://en.wikipedia.org/wiki/Achala_Fort
Nashik,Ahivant Fort,https://en.wikipedia.org/wiki/Ahivant_Fort
Nashik,Alang Fort,https://en.wikipedia.org/wiki/Alang_Fort
Nashik,Ankai Fort,https://en.wikipedia.org/wiki/Ankai_Fort
Nashik,Avandha Fort,https://en.wikipedia.org/wiki/Avandha_Fort
Nashik,Bahula Fort,https://en.wikipedia.org/wiki/Bahula_Fort
Nashik,Bhaskargad,https://en.wikipedia.org/wiki/Bhaskargad
Nashik,Bitangad,https://en.wikipedia.org/wiki/Bitangad
Nashik,Chandwad fort,https://en.wikipedia.org/wiki/Chandwad_fort
Nashik,Chauler Fort,https://en.wikipedia.org/wiki/Chauler_Fort
Nashik,Dermal Fort,https://en.wikipedia.org/wiki/Dermal_Fort
Nashik,Dhunda fort,https://en.wikipedia.org/wiki/Dhunda_fort
Nashik,Galna Fort,https://en.wikipedia.org/wiki/Galna_Fort
Nashik,Harihar fort,https://en.wikipedia.org/wiki/Harihar_fort
Nashik,Hatgadh Fort,https://en.wikipedia.org/wiki/Hatgadh_Fort
Nashik,Indrai fort,https://en.wikipedia.org/wiki/Indrai_fort
Nashik,Javlya fort,https://en.wikipedia.org/wiki/Javlya_fort
Nashik,Kanchana Fort,https://en.wikipedia.org/wiki/Kanchana_Fort
Nashik,Kankrala,https://en.wikipedia.org/wiki/Kankrala
Nashik,Koldher Fort,https://en.wikipedia.org/wiki/Koldher_Fort
Nashik,Kulang Fort,https://en.wikipedia.org/wiki/Kulang_Fort
Nashik,Madangad Fort,https://en.wikipedia.org/wiki/Madangad_Fort
Nashik,Malegaon Fort,https://en.wikipedia.org/wiki/Malegaon_Fort
Nashik,Markanda Fort,https://en.wikipedia.org/wiki/Markanda_Fort
Nashik,Mohandar fort,https://en.wikipedia.org/wiki/Mohandar_fort
Nashik,Mora fort,https://en.wikipedia.org/wiki/Mora_fort
Nashik,Mulher,https://en.wikipedia.org/wiki/Mulher
Nashik,Patta Fort,https://en.wikipedia.org/wiki/Patta_Fort
Nashik,Pisola fort,https://en.wikipedia.org/wiki/Pisola_fort
Nashik,Rajdher fort,https://en.wikipedia.org/wiki/Rajdher_fort
Nashik,Ramsej Fort,https://en.wikipedia.org/wiki/Ramsej_Fort
Nashik,Ravlya Fort,https://en.wikipedia.org/wiki/Ravlya_Fort
Nashik,Salota fort,https://en.wikipedia.org/wiki/Salota_fort
Nashik,Tankai fort,https://en.wikipedia.org/wiki/Tankai_fort
Nashik,Tringalwadi,https://en.wikipedia.org/wiki/Tringalwadi
Nashik,Trymbakgad,https://en.wikipedia.org/wiki/Trymbakgad
Palghar,Arnala fort,https://en.wikipedia.org/wiki/Arnala_fort
Palghar,Asheri fort,https://en.wikipedia.org/wiki/Asheri_fort
Palghar,Bhavangad Fort,https://en.wikipedia.org/wiki/Bhavangad_Fort
Palghar,Bhupatgad Fort,https://en.wikipedia.org/wiki/Bhupatgad_Fort
